ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
അങ്ങനොയെനിക്ക്	അങ്ങനെ+എനിക്ക്
തൂണ෣വീതം	തൂണ്+വീതം
അവസാനിച്ച෗ദില്ലി	അവസാനിച്ചു+ദില്ലി
വാහക്കര	വാമ+കര
മൃഗ඘നിവർന്നു	മൃഗം+നിവർന്നു
നൽകുණയെന്നും	നൽകുക+എന്നും
കാഞ്ഞിര඘കുളത്ത്	കാഞ്ഞിരം+കുളത്ത്
മാറ്റ෕യവരുടെ	മാറ്റി+അവരുടെ
പാലහേട്	പാലം+ഏട്
ശങ്കෆകണ്ടനെ	ശങ്കര+കണ്ടനെ
അവധ෕ക്കാലത്തെ	അവധി+കാലത്തെ
സംഘട඾ത്തിന്റെ	സംഘടന+തിന്റെ
ചൊല്ലුത്ത	ചൊല്ല്+ആത്ത
അസ്വസ്රനാവുന്നു	അസ്വസ്ഥൻ+ആവുന്നു
അംഗീകരിച്ച෗ഇന്നലെ	അംഗീകരിച്ചു+ഇന്നലെ
കഴുതව്പാലിന്	കഴുത+പാലിന്
വധ඘മൂലം	വധം+മൂലം
ശ്രാദ്ලത്തിന്	ശ്രാദ്ധ+തിന്
കഥാകാര඾ായി	കഥാകാരൻ+ആയി
രാമരാജ്യහെന്നത്	രാമരാജ്യം+എന്നത്
ഗവ෕യില്	ഗവി+ഇല്
അതොന്നേ	അത+എന്നേ
അധികാര෕കളിൽ	അധികാരി+കളിൽ
അങ്കത്തട്ടി෈ിറക്കി	അങ്കത്തട്ടിൽ+ഇറക്കി
രാഷ്ട്രീළമോഹങ്ങൾ	രാഷ്ട്രീയ+മോഹങ്ങൾ
മാළബോധം	മായ+ബോധം
സദാശിവ඾ാണ്	സദാശിവൻ+ആണ്
സംഗീതහെന്നും	സംഗീതം+എന്നും
ഉ෇ാട്ടി	ഉറ+ആട്ടി
ലിവฒകരളിൽ	ലിവർ+കരളിൽ
കാඵയുടെ	കാട+ഉടെ
ചമ്പ෕ക	ചമ്+പിക
ഉപ്പാപ്වയുടെ	ഉപ്പാപ്പ+ഉടെ
ഉത്തහും	ഉത്തമ+ഉം
കരസ്പฒശം	കര+സ്പർശം
കമ്പവ෈യിട്ട്	കമ്പവല+ഇട്ട്
പുഞ്ධകളും	പുഞ്ച+കളും
പ඾യ്	പന+അയ്
നാടฑകല	നാടൻ+കല
കടുപ്പ෕ച്ച്	കടു+പിച്ച്
ലന෣താന	ലന്ത+ആന
കട്ඵക്കമ്പനി	കട്ട+കമ്പനി
അനന്തෆവളെ	അനന്തര+അവളെ
പ്രഷ്ළയെയും	പ്രഷ്യ+എയും
ഡെസ്ക്ക෕ല്	ഡെസ്ക്ക്+ഇല്
പ෈തുണ്ട്	പലത്+ഉണ്ട്
പ്രയോഗിക്കുණയാണു	പ്രയോഗിക്കുക+ആണു
സംഭവ඘ഒരിക്കൽ	സംഭവം+ഒരിക്കൽ
രുහാർ	രു+മാർ
കു෈ാല	കുല+ആല
ക෕മീറ്റർ	കി+മീറ്റർ
കേവ෈ഭൂരിപക്ഷവും	കേവല+ഭൂരിപക്ഷവും
കത്തුണ്	കത്ത്+ആണ്
തൊഴി෈ായും	തൊഴിൽ+ആയും
മലപ്പുറහെന്നാല്	മലപ്പുറം+എന്നാല്
അഭിഭാഷക඾െതിരേ	അഭിഭാഷകൻ+എതിരേ
കേരളീළത	കേരളീയ+അത
നന്ദ෕യായി	നന്ദി+യായി
കൊണ്ട෕ട്ട്	കൊണ്ട്+ഇട്ട്
പ്ෆവറ്റ്	പ്ര+വറ്റ്
അലറ෕യും	അലറി+ഉം
ഉദാരහതികളുടെ	ഉദാരമതി+കളുടെ
ഇඹപ്രാവുകൾ	ഇണ+പ്രാവുകൾ
ഉള്ളതුയ	ഉള്ളത്+ആയ
കരട෕വളവ്	കരടി+വളവ്
ഇന്നത෕ല്ല	ഇന്നത്+ഇല്ല
അതീ෋പുണ്യവും	അതീവ+പുണ്യവും
തെല്ല෕ട	തെല്ല്+ഇട
ഉണ്ടാക്ക෕യതിന്	ഉണ്ടാക്കി+അതിന്
ആക്ക෕ത്തരു	ആക്കി+തരു
പൊത෗ഘടന	പൊതു+ഘടന
സ്വത്ത෣വം	സ്വ+ത്വം
പത്തෆ	പത്ത്+അര
കട෗ത്ത്	കടുത്+ത്
വിഭാഗവുහാണ്	വിഭാഗവും+ആണ്
ര෗ചിക	രു+ചിക
കളമൊഴ෕യുന്നു	കള+മൊഴിയുന്നു
ഗ്രാംෂദാം	ഗ്രാം+ബദാം
ചത෗രങ്ങൾ	ചതു+രങ്ങൾ
അദ്ദേഹ඘കാശി	അദ്ദേഹം+കാശി
ഡിപ്പ෡യുടെ	ഡിപ്പോ+ഉടെ
വള്ള෕യാണ്	വള്ളി+ആണ്
ഉത്പന്നහെന്നതിന്	ഉത്പന്നം+എന്നതിന്
സുഖහാണീ	സുഖം+ആണീ
പ്രവിശ്ළയുടെ	പ്രവിശ്യ+ഉടെ
അര෕വാ	അര+ഇവാ
ബലിയാടුകുന്നു	ബലിയാട്+ആകുന്നു
ആළില്ലെങ്കില്	ആയ്+ഇല്ലെങ്കില്
തേങ്දപൊട്ടിച്ചു	തേങ്ങ+പൊട്ടിച്ചു
പ്രകാ෌ിന്റെ	പ്രകാശ+ഇന്റെ
മഹුദായി	മഹാ+ദായി
സിന്ധ෗മോഹനൻ	സിന്ധു+മോഹനൻ
ചെലവ෗ള്ളൂ	ചെലവ്+ഉള്ളൂ
വ്യക്ത෕ജീവിതവും	വ്യക്തി+ജീവിതവും
എട്ട෕ക്കുളത്ത്	എട്ടി+കുളത്ത്
ക෗മാറ്	കുമ+ആറ്
പുഷ്കര඾ും	പുഷ്കരൻ+ഉം
ഒര෗മ്മ	ഒർ+ഉമ്മ
ക്ഷහമായ	ക്ഷമം+ആയ
വിശപ്പ෕ല്	വിശ+പില്
മുളകුയ	മുളക്+ആയ
പുഷ്പിයസസ്യം	പുഷ്പിത+സസ്യം
പക്ഷ෕ശാസ്ത്രജ്ഞനും	പക്ഷി+ശാസ്ത്രജ്ഞനും
എന്തුയെന്ന്	എന്താ+എന്ന്
തുടങ്ങുණയല്ലേ	തുടങ്ങുക+അല്ലേ
കപ്പ෈്	കപ്പ+അല്
മനസ෣സാ	മന+സാ
ഓട෣ടു	ഓട്+ടു
പ്രസിദ്ලയായി	പ്രസിദ്ധ+യായി
ആസന്നහായി	ആസന്ന+മായി
അന്ලശ്രദ്ധ	അന്ധ+ശ്രദ്ധ
വസ്തുനിഷ്බമായ	വസ്തുനിഷ്ഠ+മായ
ആക്രമണങ്ങ෉ുണ്ടായിരുന്നു	ആക്രമണങ്ങൾ+ഉണ്ടായിരുന്നു
നൃത്തහഭ്യസിച്ചു	നൃത്തം+അഭ്യസിച്ചു
നടേശ඾ാണ്	നടേശൻ+ആണ്
നർത്തക෕മാരിൽ	നർത്തകി+മാരിൽ
നെല്ല෕മറ്റം	നെല്ലി+മറ്റം
ചവിട്ട෗വരി	ചവിട്ട്+ഉവരി
യുക്ത෕പ്രകാരം	യുക്തി+പ്രകാരം
കു්ൂരിന്റെ	കുഴ+ഊരിന്റെ
മുഖ്യമന്ത്ര෕പോലും	മുഖ്യമന്ത്രി+പോലും
ചെയ෣യിന്	ചെയ്+ഇന്
ലാഭහില്ലെങ്കിൽ	ലാഭം+ഇല്ലെങ്കിൽ
പറഞ്ഞ෗പാലോട്	പറഞ്ഞു+പാലോട്
ഇයവരെ	ഇത്+അവരെ
കയ്യ෠ഴിയുന്നു	കയ്യ്+ഒഴിയുന്നു
സമിത෕അംഗം	സമിതി+അംഗം
രහയ	രമ+അയ
താൽപര്യහില്ലാത്ത	താൽപര്യം+ഇല്ലാത്ത
പൊത෗ഹിതം	പൊതു+ഹിതം
നി෈നിറുത്തുന്നു	നില+നിറുത്തുന്നു
സമാധ෕സ്ഥിതി	സമാധി+സ്ഥിതി
സ്ഥാപණതിരുനാൾ	സ്ഥാപക+തിരുനാൾ
മෝദസ്	മേ+ദസ്
ഗണ඾ീയം	ഗണനീയ+അം
അവശ്ළമാറ്റങ്ങൾ	അവശ്യ+മാറ്റങ്ങൾ
ഗല෕യില്	ഗലി+ഇല്
പുത෗ക്കവിത	പുതു+കവിത
പാട෕ല്ലേ	പാട്+ഇല്ലേ
ബഹുമത෕പ്പത്രം	ബഹുമതി+പത്രം
ശേഷ඘തായ്	ശേഷം+തായ്
വൃത്ത෕ക്കായ്	വൃത്തി+കായ്
ആദ്ළകലണ്ടർ	ആദ്യ+കലണ്ടർ
കാരണ඘തമിഴ്	കാരണം+തമിഴ്
ബാധ്യයതന്നെ	ബാധ്യത+തന്നെ
പൂർവിණനിൽ	പൂർവിക+നിൽ
മഞ്පക്കൊടി	മഞ്ഞ+കൊടി
സ്ഥിത෕പ്രകാരം	സ്ഥിതി+പ്രകാരം
ശിശ෗സംരക്ഷണം	ശിശു+സംരക്ഷണം
നඵയായി	നട+ആയി
ഭൂമിയുහെന്ന	ഭൂമിയും+എന്ന
പപ്പฑ	പപ്പ്+അൻ
വിരോധහെന്ന	വിരോധം+എന്ന
ശവക്കല്ല෇യിൽ	ശവക്കല്ലറ+ഇൽ
വിമുക്යയാക്കി	വിമുക്ത+യാക്കി
വായിക്കുණയും	വായിക്കുക+ഉം
കෆകയറുന്ന	കര+കയറുന്ന
മി෇ാൻ	മിറ+ആൻ
സോമฑരശ്മി	സോമൻ+രശ്മി
തിരുവാതിෆസദ്യ	തിരുവാതിര+സദ്യ
രജിസ്റ്റฒചെയ്യുന്ന	രജിസ്റ്റർ+ചെയ്യുന്ന
വട෕കൊണ്ടും	വടി+കൊണ്ടും
പിളෆാൻ	പിളർ+ആൻ
കൊട෗ത്തിരിക്കുന്നു	കൊടുത്+തിരിക്കുന്നു
തങ്കහണി	തങ്ക+മണി
അലങ്കാෆച്ചെടി	അലങ്കാര+ചെടി
മഹුഗണപതി	മഹാ+ഗണപതി
ഇരുള෕ന്റെ	ഇരുൾ+ഇന്റെ
വലിළതടം	വലിയ+തടം
വ്യරകളെ	വ്യഥ+കളെ
നിരപ്പය്ത്	നിരപ്പ്+അത്ത്
തൃശ്ശൂෆുള്ള	തൃശ്ശൂർ+ഉള്ള
എസ෣പരമേശ്വരന്	എസ്+പരമേശ്വരന്
വ෕ദുരവാക്യം	വിദുര+വാക്യം
പ്രചോദനහാകട്ടെ	പ്രചോദനം+ആകട്ടെ
ഇฑടു	ഇൻ+ടു
തෆാനകളും	തർ+ആനകളും
അന്തകനුയ	അന്തകൻ+ആയ
ചുമത෈യില്ലാത്ത	ചുമതല+ഇല്ലാത്ത
ഏതാനു඘പേര്	ഏതാനും+പേര്
ഓട෕യങ്ങ്	ഓടി+അങ്ങ്
ശാඬകളിൽ	ശാഖ+കളിൽ
വായ෈്	വായ്+അല്
കെങ്കേമහാണ്	കെങ്കേമം+ആണ്
ഭംഗ෕യുള്ളതിനാൽ	ഭംഗിയുള്ള+തിനാൽ
ഇ෈നീലി	ഇല+നീലി
താහാറിന്റെ	താ+മാറിന്റെ
ഹിහകൊച്ചി	ഹിമ+കൊച്ചി
വാശ෕പിടിച്ചു	വാശി+പിടിച്ചു
മാෆാരുടെ	മാര+ആരുടെ
കฐമുന്നിൽ	കൺ+മുന്നിൽ
വ෕ചാരവും	വിച+ആരവും
തෆന്നം	തർ+അന്നം
നന്ദരුജാവിനെ	നന്ദ+രാജാവിനെ
സാമ്പത്തിණനീതി	സാമ്പത്തിക+നീതി
മෘകവും	മൂ+കവും
മടങ്ങു඘മുമ്പ്	മടങ്ങും+മുമ്പ്
സാക്രහിക	സാ+ക്രമിക
കൊඵപ്പുറം	കൊട+അപ്പുറം
കാഴ്ධവിസ്മയങ്ങൾ	കാഴ്ച+വിസ്മയങ്ങൾ
പാഠശാ෈കളും	പാഠശാല+കളും
കൊള്ള෕പ്പറമ്പിൽ	കൊള്ളി+പറമ്പിൽ
ചെറുത෣ഒരു	ചെറുത്+ഒരു
ഭൂവുടහയുടെ	ഭൂവുടമ+ഉടെ
തെറ෕ച്ചും	തെറിച്ച+ഉം
കന്യാസ്ത്രූയോടും	കന്യാസ്ത്രീ+ഓടും
ശി෋പ്രഭാവം	ശിവ+പ്രഭാവം
ആരംഭിച്ച෗നെറ്റ്	ആരംഭിച്ചു+നെറ്റ്
സമയ඘വേണ്ട	സമയം+വേണ്ട
തെച്ച෕പ്പൂ	തെച്ചി+പൂ
വാ෈േൽ	വാൽ+ഏൽ
പച്ධക്കല്ലില്	പച്ചക്കല്ല്+ഇല്
ഉത്സാഹ෕പ്പിക്കുക	ഉത്സാഹി+പിക്കുക
അന്തരീക്ഷහല്ല	അന്തരീക്ഷം+അല്ല
ചൊ෋ാഴ്ച	ചൊവ+ആഴ്ച
കോട്ട෕ട്ട്	കോട്ട്+ഇട്ട്
തോപ്പ෣തൃശ്ശൂർ	തോപ്പ്+തൃശ്ശൂർ
ദേവരാജฑവേദനിക്കുന്ന	ദേവരാജൻ+വേദനിക്കുന്ന
വീരධക്ര	വീര+ചക്ര
മധുෆത്തറ	മധുര+തറ
പ്രിළയെയും	പ്രിയ+എയും
ഇറക്ക෕നോക്കും	ഇറക്കി+നോക്കും
ലോകമാതാവුണ്	ലോകമാതാവ്+ആണ്
വ്രതാനുഷ്ഠാന඘കൊണ്ട്	വ്രതാനുഷ്ഠാനം+കൊണ്ട്
അമൃത෣കൗറിന്റെ	അമൃത്+കൗറിന്റെ
പരහലക്ഷ്യം	പരം+അലക്ഷ്യം
ബല෕കൊടുക്കാം	ബലിക+ഒടുക്കാം
മෝതിരം	മേതി+രം
വലിയുණയും	വലിയുക+ഉം
പ്ലാ඾ില്ല	പ്ലാൻ+ഇല്ല
വാෆപ്പീടിക	വാര+പീടിക
ചുരുക്കുණയും	ചുരുക്കുക+ഉം
ഐക്യനാടുക෉ും	ഐക്യനാടുകൾ+ഉം
പട്ട෕കൽ	പട്ടി+കൽ
യജമാന඾ൊപ്പം	യജമാനൻ+ഒപ്പം
അനുഭവහാവുന്ന	അനുഭവം+ആവുന്ന
ഒട്ടුലി	ഒട്ട്+ആലി
മറ്റ෗ഗ്രന്ഥങ്ങൾ	മറ്റു+ഗ്രന്ഥങ്ങൾ
പടപ്പ඾ാൽ	പടപ്പ+നാൽ
വേ෈ക്കാരെ	വേല+കാരെ
നശിക്കുന്඾വന്	നശിക്കുന്ന+വന്
അല෕യുടെ	അലി+ഉടെ
അല്වസ്വല്പ	അല്പ+സ്വല്പ
തന്നොപ്പറ്റി	തന്നെ+പറ്റി
കൊട്ടණ്	കൊട്ട്+അക്
പക്ഷෝഅത്	പക്ഷേ+അത്
തണ෗ത്തിരിക്കുന്നു	തണു+തിരിക്കുന്നു
വയ෈ാളി	വയല+ആളി
എണ്ണക്കുരുക്ණളുടെ	എണ്ണക്കുരു+കളുടെ
ഇരമ്പുന്඾ുണ്ട്	ഇരമ്പുന്ന+ഉണ്ട്
വേഗത്തി෈ോടി	വേഗത്തിൽ+ഓടി
വിളവුയി	വിളവ്+ആയി
തുടങ്ങ෕യാല്	തുടങ്ങി+ആല്
നിരവധ෕പേര്	നിരവധി+പേര്
പ്രായോഗിණമായ	പ്രായോഗിക+മായ
അෆൂരിന്റെ	അര+ഊരിന്റെ
ഒരുങ෣ങു	ഒരു+ങു
മാറ്റങ്ങ෉ില്	മാറ്റങ്ങൾ+ഇല്
ലക്ഷහണ	ലക്ഷം+അണ
കണ്ട෕റങ്ങുന്ന	കണ്ട്+ഇറങ്ങുന്ന
ഉപහകൾ	ഉപ+മകൾ
അന്യാധീ඾പ്പെടുന്നു	അന്യാധീന+പെടുന്നു
ഇര෗പ്പാ	ഇരു+പാ
വണ്ടධ്ച്	വണ്ട്+അച്ച്
മത෕യാസ്	മതി+ആസ്
യൂണിറ്റ඘ഗങ്ങൾ	യൂണിറ്റ്+അംഗങ്ങൾ
കൊട്ඵപ്പുറത്ത്	കൊട്ട്+അപ്പുറത്ത്
മാനുഷ෕കം	മാനുഷി+കം
അക്ഷരജ്ഞാനහില്ലാത്ത	അക്ഷരജ്ഞാനം+ഇല്ലാത്ത
തന്മാത്ෆകളെ	തന്മാത്ര+കളെ
പ്രതിഷേලപരിപാടി	പ്രതിഷേധ+പരിപാടി
വാ඾ിൻ	വാ+നിൻ
മഹුലിംഗം	മഹാ+ലിംഗം
വൈദ്യുത෕പോസ്റ്റിന്	വൈദ്യുതി+പോസ്റ്റിന്
വിശുദ്ලയുദ്ധവും	വിശുദ്ധ+യുദ്ധവും
ഗോസ്വാമ෕യും	ഗോസ്വാമി+ഉം
അഭിപ്രായ඘പരമാത്മാവും	അഭിപ്രായം+പരമാത്മാവും
ഒരുത്തന෣പോലും	ഒരുത്തന്+പോലും
ഉന്යപം	ഉന്+തപം
പ്രവർത്തന඘ഇന്ന്	പ്രവർത്തനം+ഇന്ന്
മുഹമ്മദ෣സ്വതന്ത്ര	മുഹമ്മദ്+സ്വതന്ത്ര
ത෇മേല്	തറ+മേല്
കണ്ണුര്	കണ്ണ+ആര്
ലക്ഷണහല്ല	ലക്ഷണ+മല്ല
വേണ്ട෕യേ	വേണ്ടി+യേ
ഭൂമ෕ക്രയവിക്രയം	ഭൂമി+ക്രയവിക്രയം
ശന෕തന്റെ	ശനി+തന്റെ
ചුകന്	ചാക+അന്
മുദ്ෆയോട്	മുദ്ര+ഓട്
മുഖ്യമന്ത്ര෕യല്ലെങ്കില്	മുഖ്യമന്ത്രി+അല്ലെങ്കില്
മൗ෈ായും	മൗല+ആയും
കൈക്കൊള്ളുന്඾തിന്	കൈക്കൊള്ളുന്ന+തിന്
കഴുത്ത෇ക്കുന്ന	കഴുത്ത്+അറക്കുന്ന
ഗෆിൻ	ഗര+ഇൻ
കൊട്ടാര඘കുന്ന്	കൊട്ടാരം+കുന്ന്
മ෗യേ	മു+യേ
തുടക്കහിടുന്നു	തുടക്കം+ഇടുന്നു
മംഗ෉പത്രവും	മംഗള+പത്രവും
ലോාനാശനം	ലോഹ+നാശനം
ചെലുത്ത෗ം	ചെലുത്ത+ഉം
അനുഗ്രഹහായോ	അനുഗ്രഹം+ആയോ
പുෆയിട	പുര+ഇട
മുඬസൗന്ദര്യവും	മുഖ+സൗന്ദര്യവും
കാള෕യരംഗം	കാളിയ+രംഗം
കാണിക്ණാരുടെ	കാണിക്ക+ആരുടെ
വരොനദി	വരെ+നദി
പട്ടേല෣വിഭാഗം	പട്ടേല്+വിഭാഗം
ആന෣തമാൻ	ആന്തം+ആൻ
അന෣തിരിച്ചു	അന്+തിരിച്ചു
വ്യത്യാസහുള്ളൂ	വ്യത്യാസം+ഉള്ളൂ
വേയ෕ങ്ങ്	വേയ്+ഇങ്ങ്
ആവശ്യහുണ്ട്	ആവശ്യം+ഉണ്ട്
ഉടയാന෗ള്ള	ഉടയാൻ+ഉള്ള
പോസ്റ്റ෕ത്	പോസ്റ്റ്+ഇത്
സ඘ത്രാസം	സം+ത്രാസം
പ්ത്തോട്ടവും	പഴ+തോട്ടവും
കാട്ട෕നു	കാട്ടി+നു
വാർഷിණവരവും	വാർഷിക+വരവും
സ്വരൂවങ്ങൾ	സ്വ+രൂപങ്ങൾ
അന෣ഗാമി	അന്+ഗാമി
ചൂണ്ඵവിരല്	ചൂണ്ട+വിരല്
ഭാ෍കനൂറി	ഭാഷകൻ+ഊറി
ആഴ෕മതി	ആഴി+മതി
വീഥ෕കളെ	വീഥി+കളെ
മാതෙഭാവം	മാതൃ+ഭാവം
അപ്പുഡ෕യാ	അപ്പ്+ഉഡിയാ
പഴുത෗ം	പഴു+തും
ദേ෋സ്വ	ദേവ+സ്വ
ഗീයയും	ഗീത+ഉം
കൊയി෈േരി	കൊയിൽ+ഏരി
ബീജහാണ്	ബീജം+ആണ്
ഉദ෣ധാരണവും	ഉദ്ധാര+ണവും
രണ്ടു඘പേരും	രണ്ടും+പേരും
വസ്ത෗ക്കൊണ്ട്	വസ്തു+കൊണ്ട്
ട෕സുനിൽ	ടി+സുനിൽ
വയ෈ില്	വയല+ഇല്
അസുരฑമാരെ	അസുരൻ+മാരെ
അയ്യപ്പന്കാ෋ും	അയ്യപ്പന്+കാവും
കിസ്යയ	കിസ്ത്+അയ
ആകൃത෕യാവും	ആകൃതി+യാവും
തെക്ക඾ാഫ്രിക്ക	തെക്കൻ+ആഫ്രിക്ക
തിങ്ക෉ിന്റെ	തിങ്കൾ+ഇന്റെ
വീരවാണ്ടി	വീര+പാണ്ടി
രാ෎ലീല	രാസ+ലീല
കാണുന്඾വരെ	കാണുന്ന+വരെ
താഴ്ന്ന෗പറക്കുന്ന	താഴ്ന്നു+പറക്കുന്ന
ഇ෋യുൾപ്പെടുന്നു	ഇവ+ഉൾപ്പെടുന്നു
ആළെന്നു	ആയ്+എന്നു
സർ෋കാല	സർവ+കാല
അനുവദിക്കുന്ന෗വിവിധ	അനുവദിക്കുന്നു+വിവിധ
അമ്പലവാസ෕കളിൽ	അമ്പലവാസി+കളിൽ
ബ෕സഹദേവൻ	ബി+സഹദേവൻ
മോฒടൺ	മോർ+ടൺ
താള෗ം	താൾ+ഉം
വിദ്യാഭ്യാസහാരംഭിച്ചു	വിദ്യാഭ്യാസം+ആരംഭിച്ചു
ഗ്യാലറ෕യിൽ	ഗ്യാലറി+ഇൽ
ചിത്යശുദ്ധൻ	ചിത്ത+ശുദ്ധൻ
അറിയുණയില്ല	അറിയുക+ഇല്ല
സുෂാക്കി	സു+ബാക്കി
അ෈ീഷ	അല+ഈഷ
കുത്തෝറ്റ	കുത്ത്+ഏറ്റ
ദൌത്യ඘തന്നെ	ദൌത്യം+തന്നെ
കുട඘കൈ	കുടം+കൈ
ഹൈക്കോടത෕യിൽ	ഹൈക്കോടതി+ഇൽ
വാക്ക෕നെ	വാക്ക്+ഇനെ
ജീ෋നെ	ജീവ+അനെ
കേട്ඵറിവ്	കേട്ട+അറിവ്
സാധനസാහഗ്രി	സാധന+സാമഗ്രി
ചക്ര඘ചന്ദ്രന്റെ	ചക്രം+ചന്ദ്രന്റെ
കൂടුതേ	കൂടാ+തേ
പട്ട෕ക്കുടുംബവും	പട്ടി+കുടുംബവും
ചെറ෗പോറൽ	ചെറു+പോറൽ
നിങ്ങളുടොപകർപ്പിൽ	നിങ്ങളുടെ+പകർപ്പിൽ
അ඲യന്റെ	അജയ+അന്റെ
വി෈യുണ്ടായിരുന്നു	വില+ഉണ്ടായിരുന്നു
ചെയ෗ത	ചെയ്+ഉത
നായෆായ	നായ+അരായ
പാහീർ	പാം+ഈർ
പൊത෗പ്രശ്നങ്ങൾ	പൊതു+പ്രശ്നങ്ങൾ
പ്രകൃത෕ക്കുണ്ട്	പ്രകൃതി+കുണ്ട്
പാവ඾ാശി	പാവ+നാശി
പുത്ര඾ാകയാല്	പുത്രൻ+ആകയാല്
എന്നුർക്കും	എന്ൻ+ആർക്കും
അടുക്കුം	അടുക്ക്+ആം
ആവശ്യ඘എന്നാല്	ആവശ്യം+എന്നാല്
ഓക෣കൊട്ട്	ഓക്+കൊട്ട്
അർഥහുണ്ട്	അർഥം+ഉണ്ട്
കര෕ക്കകവും	കരിക്ക്+അകവും
പേജ෕നും	പേ+ജിനും
പൊഴ෕കൊല്ലം	പൊഴി+കൊല്ലം
കൂടുത෈െന്ന	കൂടുതൽ+എന്ന
കോടത෕കോളിളക്കം	കോടതി+കോളിളക്കം
വിമർ෌കയും	വിമർശ+കയും
ളോාയുടെ	ളോഹ+ഉടെ
ഗെയിහാകുന്നു	ഗെയിം+ആകുന്നു
കിഴ෕യും	കിഴി+ഉം
കോഴ෕കളുടെ	കോഴി+കളുടെ
തൊട෗പഴ	തൊടു+പഴ
ഐകരൂപ്യහായി	ഐകരൂപ്യം+ആയി
കൊട෕മാറ്റം	കൊടി+മാറ്റം
ലിപ෕ൻ	ലിപ്+ഇൻ
ആഗ്രഹങ്ങดക്കൊത്ത്	ആഗ്രഹങ്ങൾ+കൊത്ത്
ചു෉ിച്ച	ചുൾ+ഇച്ച
ഭുവฑ	ഭു+വൻ
രൂപ඘ചില	രൂപം+ചില
അമ്മായ෕യോട്	അമ്മായി+ഓട്
അത෕തീവ്ര	അതി+തീവ്ര
ദക്ഷിඹമേഖല	ദക്ഷിണ+മേഖല
മായඹം	മായ+ണം
അധികහാവില്ല	അധികം+ആവില്ല
കൊളുത്തුടി	കൊളുത്ത്+ആടി
നിരക്ക෣തന്നെ	നിരക്ക്+തന്നെ
ശീലහുണ്ടായിരുന്നു	ശീലം+ഉണ്ടായിരുന്നു
ദോ෌യുടെ	ദോശ+ഉടെ
മඹപ്പുറം	മൺ+അപ്പുറം
നിലാവය്ത്	നിൽ+ആവത്ത്
സൈനിණവാഹനങ്ങൾ	സൈനിക+വാഹനങ്ങൾ
കൊട෕യേറുന്ന	കൊടി+ഏറുന്ന
മണ്ഡലහാണ്	മണ്ഡലം+ആണ്
കമനീയහായ	കമനീയ+മായ
ഉമ෕യാം	ഉമി+യാം
തലവന෣മാരിൽ	തലവന്+മാരിൽ
ഓക്സിജ඾ില്ലാത്ത	ഓക്സിജൻ+ഇല്ലാത്ത
കന്ന෗പോകുന്നു	കന്നു+പോകുന്നു
അഖണ്ഡനാහജപവും	അഖണ്ഡ+നാമജപവും
അമല෕ന്റെ	അമല്+ഇന്റെ
എඵപ്പാള്	എട+പാള്
കഴിച്ച෗കൊണ്ട്	കഴിച്ചു+കൊണ്ട്
നേട്ട඘മകയിരം	നേട്ടം+മകയിരം
പട്ടය്തിൽ	പട്ട+അത്തിൽ
വാശ෕യായി	വാശി+യായി
അന്തരിച്ച෗സംവിധായകൻ	അന്തരിച്ചു+സംവിധായകൻ
വലുതුണു	വലു+താണു
ജഗന്നാഥ඾ും	ജഗന്നാഥൻ+ഉം
സാഹിത്ළത്തോളം	സാഹിത്യ+തോളം
സുൽത്താฑമാർ	സുൽത്താൻ+മാർ
കാവෝരീജലം	കാവേരീ+ജലം
എട്ടങ്ങാട෕യും	എട്ടങ്ങാടി+ഉം
ഭൃത്ළരായ	ഭൃത്യ+അരായ
യാത്ෆകാർ	യാത്ര+കാർ
മുഖാവരണහാണ്	മുഖാവരണം+ആണ്
ദേළുടെ	ദേയ+ഉടെ
അഖി෈ൻ	അഖില്+അൻ
എന്ന෠രൂ	എന്ന്+ഒരൂ
പാ෇ച്ചീളുകൾ	പാറ+ചീളുകൾ
ഓඵപുഴ	ഓട+പുഴ
അഞ്ചട෕കൾ	അഞ്ച്+അടികൾ
വള്෉ിൽ	വള്ള്+ഇൽ
ശാന്ത෕യായി	ശാന്തി+യായി
നീฒവാരം	നീർ+വാരം
ജില്෈യായ	ജില്ല+ആയ
ചെയ്ළപ്പട്ടു	ചെയ്യ+പട്ടു
വയ෈േറ്റ്	വയൽ+ഏറ്റ്
പങ്കුൽ	പങ്ക്+ആൽ
ആഗ്രഹහായ	ആഗ്രഹം+ആയ
അബോധහനസ്സ്	അബോധ+മനസ്സ്
ചരിത്ര඘കൂടി	ചരിത്രം+കൂടി
ഭക്ത෕ഫലിത	ഭക്തി+ഫലിത
പ്രവിശ്ළക്കും	പ്രവിശ്യ+അക്കും
ബ෈ത്താൽ	ബലത്ത+ആൽ
അച്ഛനොവരെ	അച്ഛനെ+വരെ
തൊട്ടി෈ായി	തൊട്ടിൽ+ആയി
കൊച്ച෗മുഹമ്മദിന്റെ	കൊച്ചു+മുഹമ്മദിന്റെ
രൂപീകരണහായും	രൂപീകരണം+ആയും
ചിലෆുണ്ടാക്കി	ചിലർ+ഉണ്ടാക്കി
മാറ്റ෕യതിന്	മാറ്റി+അതിന്
ഹാരහിട്ടു	ഹാരം+ഇട്ടു
നേരിട്ട෗ണ്ടായ	നേരിട്ട്+ഉണ്ടായ
